"pathway_id","gene_symbol"
"GOBP_RIBOSOME_BIOGENESIS","NGRN"
"GOBP_RIBOSOME_BIOGENESIS","NHP2"
"GOBP_RIBOSOME_BIOGENESIS","NIFK"
"GOBP_RIBOSOME_BIOGENESIS","NIP7"
"GOBP_RIBOSOME_BIOGENESIS","NLE1"
"GOBP_RIBOSOME_BIOGENESIS","NMD3"
"GOBP_RIBOSOME_BIOGENESIS","NOB1"
"GOBP_RIBOSOME_BIOGENESIS","NOC2L"
"GOBP_RIBOSOME_BIOGENESIS","NOC4L"
"GOBP_RIBOSOME_BIOGENESIS","NOC4L"
"GOBP_RIBOSOME_BIOGENESIS","NOL10"
"GOBP_RIBOSOME_BIOGENESIS","NOL11"
"GOBP_RIBOSOME_BIOGENESIS","NOL6"
"GOBP_RIBOSOME_BIOGENESIS","NOL8"
"GOBP_RIBOSOME_BIOGENESIS","NOL9"
"GOBP_RIBOSOME_BIOGENESIS","NOLC1"
"GOBP_RIBOSOME_BIOGENESIS","NOM1"
"GOBP_RIBOSOME_BIOGENESIS","NOP10"
"GOBP_RIBOSOME_BIOGENESIS","NOP14"
"GOBP_RIBOSOME_BIOGENESIS","NOP16"
"GOBP_RIBOSOME_BIOGENESIS","NOP2"
"GOBP_RIBOSOME_BIOGENESIS","NOP53"
"GOBP_RIBOSOME_BIOGENESIS","NOP56"
"GOBP_RIBOSOME_BIOGENESIS","NOP58"
"GOBP_RIBOSOME_BIOGENESIS","NOP9"
"GOBP_RIBOSOME_BIOGENESIS","NOP9"
"GOBP_RIBOSOME_BIOGENESIS","NPM1"
"GOBP_RIBOSOME_BIOGENESIS","NPM3"
"GOBP_RIBOSOME_BIOGENESIS","NSA2"
"GOBP_RIBOSOME_BIOGENESIS","NSUN3"
"GOBP_RIBOSOME_BIOGENESIS","NSUN4"
"GOBP_RIBOSOME_BIOGENESIS","NSUN5"
"GOBP_RIBOSOME_BIOGENESIS","NSUN5P1"
"GOBP_RIBOSOME_BIOGENESIS","NSUN5P1"
"GOBP_RIBOSOME_BIOGENESIS","NSUN5P2"
"GOBP_RIBOSOME_BIOGENESIS","NUDT16"
"GOBP_RIBOSOME_BIOGENESIS","NUP88"
"GOBP_RIBOSOME_BIOGENESIS","NVL"
"GOBP_RIBOSOME_BIOGENESIS","PA2G4"
"GOBP_RIBOSOME_BIOGENESIS","PAK1IP1"
"GOBP_RIBOSOME_BIOGENESIS","PAK1IP1"
"GOBP_RIBOSOME_BIOGENESIS","PDCD11"
"GOBP_RIBOSOME_BIOGENESIS","PES1"
"GOBP_RIBOSOME_BIOGENESIS","PIH1D1"
"GOBP_RIBOSOME_BIOGENESIS","PIH1D2"
"GOBP_RIBOSOME_BIOGENESIS","PIN4"
"GOBP_RIBOSOME_BIOGENESIS","PINX1"
"GOBP_RIBOSOME_BIOGENESIS","PINX1"
"GOBP_RIBOSOME_BIOGENESIS","PINX1"
"GOBP_RIBOSOME_BIOGENESIS","POP4"
"GOBP_RIBOSOME_BIOGENESIS","POP5"
"GOBP_RIBOSOME_BIOGENESIS","POP7"
"GOBP_RIBOSOME_BIOGENESIS","PPAN"
"GOBP_RIBOSOME_BIOGENESIS","PRKDC"
"GOBP_RIBOSOME_BIOGENESIS","PTEN"
"GOBP_RIBOSOME_BIOGENESIS","PTEN"
"GOBP_RIBOSOME_BIOGENESIS","PWP1"
"GOBP_RIBOSOME_BIOGENESIS","PWP2"
"GOBP_RIBOSOME_BIOGENESIS","RAN"
"GOBP_RIBOSOME_BIOGENESIS","RBFA"
"GOBP_RIBOSOME_BIOGENESIS","RBIS"
"GOBP_RIBOSOME_BIOGENESIS","RCL1"
"GOBP_RIBOSOME_BIOGENESIS","REXO4"
"GOBP_RIBOSOME_BIOGENESIS","REXO4"
"GOBP_RIBOSOME_BIOGENESIS","RIOK1"
"GOBP_RIBOSOME_BIOGENESIS","RIOK2"
"GOBP_RIBOSOME_BIOGENESIS","RIOK3"
"GOBP_RIBOSOME_BIOGENESIS","RIOX2"
"GOBP_RIBOSOME_BIOGENESIS","RMRP"
"GOBP_RIBOSOME_BIOGENESIS","RMRP"
"GOBP_RIBOSOME_BIOGENESIS","RNASEL"
"GOBP_RIBOSOME_BIOGENESIS","RPF1"
"GOBP_RIBOSOME_BIOGENESIS","RPF2"
"GOBP_RIBOSOME_BIOGENESIS","RPL10"
"GOBP_RIBOSOME_BIOGENESIS","RPL10A"
"GOBP_RIBOSOME_BIOGENESIS","RPL10L"
"GOBP_RIBOSOME_BIOGENESIS","RPL11"
"GOBP_RIBOSOME_BIOGENESIS","RPL14"
"GOBP_RIBOSOME_BIOGENESIS","RPL23A"
"GOBP_RIBOSOME_BIOGENESIS","RPL24"
"GOBP_RIBOSOME_BIOGENESIS","RPL26"
"GOBP_RIBOSOME_BIOGENESIS","RPL26L1"
"GOBP_RIBOSOME_BIOGENESIS","RPL27"
"GOBP_RIBOSOME_BIOGENESIS","RPL3"
"GOBP_RIBOSOME_BIOGENESIS","RPL35"
"GOBP_RIBOSOME_BIOGENESIS","RPL35A"
"GOBP_RIBOSOME_BIOGENESIS","RPL38"
"GOBP_RIBOSOME_BIOGENESIS","RPL3L"
"GOBP_RIBOSOME_BIOGENESIS","RPL5"
